title,sale_price,item_sold,likes,shop_rating,discount_pct,category,brand,product_short_link,opportunity_score
FelinWel พาเลทคอนทัวร์ บรอนเซอร์ ไฮไลท์ 4สี เนื้อแมตต์ 3D รับรองโดย FDA | Contour Bronzer Highlight Palette,193.0,977.0,16071.0,4.89,13.0,Face,FelinWel,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F801448708%2F23217965166,2950.25
Flower Knows Strawberry Rococo Series บลัชออนนูน 5 กรัม,713.0,23.0,18464.0,4.94,40.0,Face,Flower Knows,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F473339325%2F16782938641,2933.3
แป้งพัฟสุรีย์พร 199 บาท - Sureeporn Powder Foundation,181.0,1041.0,15709.0,4.89,55.0,Face,Sureeporn(สุรีย์พร),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F219492110%2F6654015541,2927.25
NEW! L'OREAL INFAILLIBLE FRESH WEAR CUSHION ใหม่!  อินเฟลลิเบิล เฟรช แวร์ คุชชั่น,499.0,4660.0,6026.0,4.91,17.0,Face,L’Oreal(ลอรีอัล),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F29667634%2F52906163262,2918.35
Charmiss Glowfriend Natural Blush On 4 g บลัชออนเนื้อโมจิ เนื้อเด้งนุ่ม เกลี่ยง่าย ติดทน,198.0,154.0,17554.0,4.92,1.0,Face,Charmiss,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F369799942%2F20833106379,2842.3
Pinkflash Ohmyself แป้งฝุ่น ควบคุมความมัน,72.0,120.0,17199.0,4.81,68.0,Face,PINKFLASH,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F320847166%2F5476994455,2782.2
[ช้อปครบ รับฟรี!] BEAUTILAB 4EverFix Makeup Setting Spray สเปรย์ล็อคเมคอัพ ติดทนนาน กันน้ำ กันเหงื่อ,378.0,604.0,15779.0,4.92,53.0,Face,Beautilab(บิวตี้แล็บ),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F6583190%2F24811839167,2764.15
โปรเดือน6 คุชชั่นเขียวตัวจริงกว่า Matte All Day Acne Cushion SPF 50 PA++++ 8 g คุชชั่นสำหรับผิวเป็นสิว เนื้อแมทท์ คุมมัน,249.0,877.0,14961.0,4.92,24.0,Face,Charmiss,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F369799942%2F29458996603,2746.0
[แพ็กคู่สุดคุ้ม] MAYBELLINE FIT ME MATTE+PORELESS POWDER เมย์เบลลีน แป้ง ฟิตมี แมท+พอร์เลส คุมมัน 16 ชม. 6 กรัม,259.0,2075.0,10780.0,4.91,23.0,Face,Maybelline,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F29668843%2F6280462395,2597.9
[2กล่อง20แผ่น] COLORKEY LUMINOUS FACIAL MASK B5 มาส์กหน้า บำรุงผิว ฟื้นฟูผิว เติมความชุ่มชื้น คัลเลอร์คีย์ ลูมินัส,299.0,4481.0,4020.0,4.94,50.0,Face Mask & Packs,Colorkey,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1469616290%2F25747775807,2551.25
MYU-NIQUE Essence Mask มิว-นิค เอสเซ้นส์ มาสก์ 25g,14.0,942.0,13144.0,4.92,52.0,Face Mask & Packs,Myu-nique(มิว-นิค),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F72324532%2F7216411043,2503.95
ไพรเมอร์ 4U2 MATTE SKIN PRIMER -  ไพรเมอร์ 4U2 เนื้อเจล บางเบา เบลอรูขุมขน ไพรเมอร์4U2 Primer 4u2,499.0,434.0,13699.0,4.9,17.0,Face,4U2,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F125219443%2F22745394145,2378.45
ANESSA อเนสซ่า เพอร์เฟค ยูวี ซันสกรีน สกินแคร์ มิลค์ NA SPF50+PA++++ 60 มล.,969.0,2416.0,8325.0,4.93,8.0,Face Sunscreen,Anessa,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F446760693%2F25563425563,2364.55
[กด 2 ชิ้น เพื่อรับ 1 แถม 1] [เฉพาะเบอร์ 03] BEAUTILAB 2ND Tint Foundation ทิ้นท์ม่วงเปลี่ยนสี ผิวโกลว์เล่นแสง,378.0,131.0,14187.0,4.92,53.0,Face,Beautilab(บิวตี้แล็บ),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F6583190%2F25981214899,2335.7
Judydoll Powder Compact ไฮไลท์อัดแข็ง จูดี้ดอล พาเลทไฮไลท์สีเดียว ติดทนนาน เนื้อแมท เป็นธรรมชาติ กันน้ำ Matte Pressed Highlighter,229.0,698.0,12616.0,4.91,58.0,Face,Judydoll,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F341989826%2F28007677196,2327.6
MizuMi UV Airy Sun Stick SPF50+ PA++++ 20g กันแดดสติก กันน้ำ เนื้อนุ่มลื่น เกลี่ยง่าย เบาผิว พร้อมเบลอรูขุมขน,199.0,1210.0,11140.0,4.94,0.0,Face Sunscreen,MizuMi(มิชึมิ),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F70802054%2F26709205961,2302.9
Naturista มาส์กโคลนทีทรีลดสิวกระชับรูขุมขนผิวเนียนนุ่มขึ้นทันทีหลังใช้Tea Tree Facial Clay Mask150ml,217.0,195.0,13707.0,4.87,76.0,Face Mask & Packs,Naturista,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F223832803%2F4727978298,2291.25
